                    ,open     ,high     ,low      ,close    ,volume     ,SMA_20
2024-10-04 19:55:00 ,124.4395 ,124.54   ,121.98   ,124.44   ,   97300.0 ,   
2024-10-04 19:50:00 ,124.44   ,124.45   ,124.41   ,124.43   ,   56950.0 ,   
2024-10-04 19:45:00 ,124.4799 ,124.48   ,124.42   ,124.44   ,   37963.0 ,   
2024-10-04 19:40:00 ,124.48   ,124.52   ,124.46   ,124.48   ,   17602.0 ,   
2024-10-04 19:35:00 ,124.535  ,124.59   ,124.4605 ,124.4605 ,   48702.0 ,   
2024-10-04 19:30:00 ,124.54   ,124.56   ,122.34   ,124.53   ,   26872.0 ,   
2024-10-04 19:25:00 ,124.515  ,124.55   ,122.33   ,124.545  ,   19985.0 ,   
2024-10-04 19:20:00 ,124.54   ,124.54   ,124.5    ,124.5199 ,   21298.0 ,   
2024-10-04 19:15:00 ,124.64   ,124.65   ,124.51   ,124.54   ,   48467.0 ,   
2024-10-04 19:10:00 ,124.61   ,124.92   ,122.28   ,124.645  ,  158733.0 ,   
2024-10-04 19:05:00 ,124.64   ,124.65   ,124.61   ,124.61   ,   15141.0 ,   
2024-10-04 19:00:00 ,124.64   ,124.68   ,124.61   ,124.62   ,   22993.0 ,   
2024-10-04 18:55:00 ,124.64   ,124.67   ,124.621  ,124.621  ,   36139.0 ,   
2024-10-04 18:50:00 ,124.69   ,124.7    ,124.64   ,124.645  ,   24263.0 ,   
2024-10-04 18:45:00 ,124.655  ,124.7    ,124.65   ,124.69   ,   34271.0 ,   
2024-10-04 18:40:00 ,124.65   ,124.68   ,124.65   ,124.65   ,   23850.0 ,   
2024-10-04 18:35:00 ,124.645  ,124.69   ,124.64   ,124.66   ,   22609.0 ,   
2024-10-04 18:30:00 ,124.63   ,124.65   ,124.63   ,124.65   ,    6267.0 ,   
2024-10-04 18:25:00 ,124.64   ,124.66   ,124.63   ,124.63   ,   18013.0 ,   
2024-10-04 18:20:00 ,124.64   ,124.66   ,124.63   ,124.6499 ,   28106.0 ,124.57281499999999
2024-10-04 18:15:00 ,124.63   ,124.66   ,124.63   ,124.64   ,   17177.0 ,124.58281500000001
2024-10-04 18:10:00 ,124.62   ,124.64   ,124.61   ,124.63   ,   15782.0 ,124.592815
2024-10-04 18:05:00 ,124.63   ,124.64   ,124.61   ,124.6299 ,   13915.0 ,124.60231000000002
2024-10-04 18:00:00 ,124.6195 ,124.64   ,124.61   ,124.64   ,   19772.0 ,124.61031
2024-10-04 17:55:00 ,124.64   ,124.65   ,124.61   ,124.62   ,   13066.0 ,124.61828499999999
2024-10-04 17:50:00 ,124.64   ,124.65   ,124.61   ,124.6402 ,   27987.0 ,124.62379500000002
2024-10-04 17:45:00 ,124.68   ,124.69   ,124.62   ,124.64   ,   21353.0 ,124.628545
2024-10-04 17:40:00 ,124.63   ,124.69   ,124.63   ,124.6801 ,   28799.0 ,124.636555
2024-10-04 17:35:00 ,124.64   ,124.65   ,124.62   ,124.64   ,   20569.0 ,124.641555
2024-10-04 17:30:00 ,124.61   ,124.69   ,124.6    ,124.63   ,   39311.0 ,124.640805
2024-10-04 17:25:00 ,124.7    ,124.71   ,124.61   ,124.62   ,   27661.0 ,124.64130499999999
2024-10-04 17:20:00 ,124.68   ,124.73   ,124.67   ,124.7097 ,   59543.0 ,124.64578999999999
2024-10-04 17:15:00 ,124.625  ,124.69   ,124.62   ,124.68   ,   43930.0 ,124.64874
2024-10-04 17:10:00 ,124.62   ,124.63   ,124.6    ,124.63   ,   37903.0 ,124.64798999999998
2024-10-04 17:05:00 ,124.61   ,124.63   ,124.6    ,124.62   ,   28677.0 ,124.64449000000002
2024-10-04 17:00:00 ,124.61   ,124.64   ,117.4608 ,124.62   ,   43304.0 ,124.64299000000001
2024-10-04 16:55:00 ,124.6199 ,124.92   ,124.6    ,124.611  ,   98046.0 ,124.64053999999999
2024-10-04 16:50:00 ,124.63   ,124.67   ,124.58   ,124.62   ,   83556.0 ,124.63904
2024-10-04 16:45:00 ,124.65   ,124.92   ,124.63   ,124.63   ,  133053.0 ,124.63904
2024-10-04 16:40:00 ,124.67   ,124.92   ,124.63   ,124.645  ,  280782.0 ,124.638795
2024-10-04 16:35:00 ,124.66   ,124.92   ,124.63   ,124.6797 ,   55129.0 ,124.64077999999999
2024-10-04 16:30:00 ,124.65   ,124.68   ,124.63   ,124.67   ,   73064.0 ,124.64278000000002
2024-10-04 16:25:00 ,124.71   ,124.71   ,124.65   ,124.6598 ,   67922.0 ,124.644275
2024-10-04 16:20:00 ,124.92   ,124.92   ,124.65   ,124.7    ,  249214.0 ,124.647275
2024-10-04 16:15:00 ,124.63   ,124.92   ,124.62   ,124.6503 ,  111959.0 ,124.64879
2024-10-04 16:10:00 ,124.77   ,124.78   ,124.62   ,124.64   ,  124111.0 ,124.64877999999999
2024-10-04 16:05:00 ,124.8699 ,124.89   ,120.59   ,124.73   ,  138580.0 ,124.65328
2024-10-04 16:00:00 ,124.89   ,124.96   ,124.42   ,124.85   ,27277133.0 ,124.66177499999999
2024-10-04 15:55:00 ,124.91   ,125.04   ,124.8    ,124.89   , 9700430.0 ,124.67427500000001
2024-10-04 15:50:00 ,124.68   ,124.95   ,124.65   ,124.915  , 4830559.0 ,124.688525
2024-10-04 15:45:00 ,124.635  ,124.73   ,124.54   ,124.69   , 2475589.0 ,124.69202500000002
2024-10-04 15:40:00 ,124.575  ,124.68   ,124.54   ,124.64   , 2183500.0 ,124.68854000000002
2024-10-04 15:35:00 ,124.655  ,124.7    ,124.48   ,124.5703 , 2283509.0 ,124.683055
2024-10-04 15:30:00 ,124.555  ,124.7    ,124.495  ,124.655  , 2536207.0 ,124.68430500000002
2024-10-04 15:25:00 ,124.5    ,124.585  ,124.42   ,124.555  , 1715554.0 ,124.68105499999999
2024-10-04 15:20:00 ,124.425  ,124.56   ,124.355  ,124.5028 , 1984319.0 ,124.675195
2024-10-04 15:15:00 ,124.386  ,124.44   ,124.33   ,124.425  , 1277866.0 ,124.665895
2024-10-04 15:10:00 ,124.415  ,124.44   ,124.3    ,124.3801 , 1316301.0 ,124.65390000000002
2024-10-04 15:05:00 ,124.41   ,124.52   ,124.39   ,124.415  , 1190080.0 ,124.64315000000002
2024-10-04 15:00:00 ,124.615  ,124.615  ,124.38   ,124.405  , 1354584.0 ,124.63115
2024-10-04 14:55:00 ,124.4698 ,124.65   ,124.46   ,124.615  , 1404022.0 ,124.627915
2024-10-04 14:50:00 ,124.425  ,124.5899 ,124.41   ,124.465  , 1555965.0 ,124.61766499999999
2024-10-04 14:45:00 ,124.3607 ,124.44   ,124.3    ,124.4292 , 1198908.0 ,124.606135
2024-10-04 14:40:00 ,124.42   ,124.5    ,124.35   ,124.365  , 1279736.0 ,124.58938500000002
2024-10-04 14:35:00 ,124.625  ,124.63   ,124.3801 ,124.417  , 1775055.0 ,124.57772
2024-10-04 14:30:00 ,124.59   ,124.7    ,124.46   ,124.625  , 2331042.0 ,124.57697
2024-10-04 14:25:00 ,124.39   ,124.61   ,124.3416 ,124.5934 , 3415507.0 ,124.57014
2024-10-04 14:20:00 ,124.17   ,124.42   ,124.15   ,124.384  , 1973731.0 ,124.54684
2024-10-04 14:15:00 ,124.1344 ,124.22   ,124.02   ,124.1624 , 1299819.0 ,124.51046
2024-10-04 14:10:00 ,124.21   ,124.22   ,123.96   ,124.13   , 1340320.0 ,124.47121
2024-10-04 14:05:00 ,124.07   ,124.23   ,124.01   ,124.1962 , 1323955.0 ,124.44651999999999
2024-10-04 14:00:00 ,123.975  ,124.15   ,123.91   ,124.075  , 1617013.0 ,124.41827
2024-10-04 13:55:00 ,124.1    ,124.16   ,123.915  ,123.9701 , 1592875.0 ,124.38826000000002
2024-10-04 13:50:00 ,124.325  ,124.3798 ,124.04   ,124.105  , 1541114.0 ,124.36075999999998
2024-10-04 13:45:00 ,124.3791 ,124.48   ,124.32   ,124.3225 , 1462689.0 ,124.349135
2024-10-04 13:40:00 ,124.27   ,124.49   ,124.18   ,124.38   , 2054544.0 ,124.342995
2024-10-04 13:35:00 ,124.26   ,124.33   ,123.76   ,124.265  , 2474732.0 ,124.334995
2024-10-04 13:30:00 ,124.035  ,124.4    ,123.99   ,124.2601 , 2196476.0 ,124.328995
2024-10-04 13:25:00 ,124.13   ,124.16   ,123.96   ,124.04   , 1428507.0 ,124.31024499999998
2024-10-04 13:20:00 ,124.235  ,124.2899 ,124.02   ,124.125  , 1570613.0 ,124.296245
2024-10-04 13:15:00 ,124.3201 ,124.35   ,124.19   ,124.2308 , 1268758.0 ,124.277035
2024-10-04 13:10:00 ,124.11   ,124.33   ,124.095  ,124.326  , 1250047.0 ,124.27008500000002
2024-10-04 13:05:00 ,124.2    ,124.24   ,124.08   ,124.1    , 1039287.0 ,124.25362500000001
2024-10-04 13:00:00 ,124.275  ,124.28   ,124.06   ,124.209  , 1273448.0 ,124.245825
2024-10-04 12:55:00 ,124.2    ,124.3251 ,124.19   ,124.28   , 1180346.0 ,124.23897500000001
2024-10-04 12:50:00 ,124.385  ,124.42   ,124.15   ,124.1957 , 1640124.0 ,124.21750999999999
2024-10-04 12:45:00 ,124.4691 ,124.49   ,124.38   ,124.3801 , 2039167.0 ,124.20684500000002
2024-10-04 12:40:00 ,124.27   ,124.48   ,124.13   ,124.46   , 2335728.0 ,124.210645
2024-10-04 12:35:00 ,123.895  ,124.32   ,123.8801 ,124.2707 , 2429764.0 ,124.21606
2024-10-04 12:30:00 ,123.83   ,123.96   ,123.77   ,123.9    , 1074781.0 ,124.20455999999999
2024-10-04 12:25:00 ,123.8    ,123.92   ,123.6201 ,123.83   , 1418503.0 ,124.18625
2024-10-04 12:20:00 ,124.02   ,124.08   ,123.78   ,123.8001 , 1656472.0 ,124.172505
2024-10-04 12:15:00 ,123.885  ,124.03   ,123.8    ,124.0193 , 1429911.0 ,124.174965
2024-10-04 12:10:00 ,123.85   ,124.01   ,123.79   ,123.885  , 1628267.0 ,124.16396499999999
2024-10-04 12:05:00 ,124.265  ,124.29   ,123.825  ,123.8505 , 2209935.0 ,124.140365
2024-10-04 12:00:00 ,124.285  ,124.35   ,124.2    ,124.26   , 2223158.0 ,124.134365
2024-10-04 11:55:00 ,123.97   ,124.2899 ,123.97   ,124.2885 , 3490656.0 ,124.13553999999999
2024-10-04 11:50:00 ,123.41   ,123.97   ,123.39   ,123.97   , 2171916.0 ,124.121035
2024-10-04 11:45:00 ,123.8    ,123.8099 ,123.3908 ,123.4108 , 1550781.0 ,124.08957500000001
2024-10-04 11:40:00 ,123.485  ,123.94   ,123.48   ,123.79   , 2658682.0 ,124.07282500000001
